"(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) X","(OP(""M0"" ""id"") / 1e-05) vs (OP(""M0"" ""gm"") / OP(""M0"" ""id"")) Y"
-23.14714701,-0.046292328,-23.066887,-0.04535503,-22.9909246,-0.04458574,-22.91741466,-0.043979958,-22.8460155,-0.043482848,-22.77679229,-0.04304379,-22.70988602,-0.04262684,-22.64542041,-0.042209423,-22.58348114,-0.041778761,-22.52411558,-0.041328644,-22.46733748,-0.040857035,-22.41313234,-0.040364425,-22.36146232,-0.039852758,-22.31227061,-0.039324738
-22.05486858,-0.143653434,-21.88418642,-0.139953177,-21.71482248,-0.136814857,-21.54658759,-0.134208568,-21.38095805,-0.131963141,-21.2196199,-0.129925981,-21.06396049,-0.127991187,-20.91494905,-0.126093621,-20.77316684,-0.124197169,-20.63888314,-0.122284619,-20.51213484,-0.12035037,-20.39279451,-0.11839559,-20.28062375,-0.116425115,-20.17531312,-0.114445535
-19.92755479,-0.412714702,-19.55733824,-0.39671658,-19.21710762,-0.382889991,-18.90115095,-0.371023143,-18.60771392,-0.360579827,-18.3360039,-0.351107939,-18.08520682,-0.34229604,-17.85427023,-0.333946984,-17.64193913,-0.325941933,-17.44684858,-0.318211838,-17.2676073,-0.310717957,-17.10285665,-0.303439383,-16.95130678,-0.296365344,-16.8117557,-0.289490552
-16.60838836,-1.032246554,-16.12969295,-0.970703645,-15.71632467,-0.918808808,-15.35130571,-0.874818887,-15.02610233,-0.836740699,-14.73527432,-0.803041691,-14.47462461,-0.772654897,-14.2405856,-0.744856559,-14.03002324,-0.719153499,-13.84016981,-0.695202621,-13.66858911,-0.672757988,-13.51314614,-0.651637123,-13.37197586,-0.631699743,-13.2434516,-0.612834285
-13.06886119,-2.164877839,-12.63725962,-1.989030197,-12.27688677,-1.845959746,-11.96695119,-1.727696834,-11.69664956,-1.627730257,-11.4591312,-1.541421611,-11.24936233,-1.465565763,-11.06333126,-1.397936677,-10.89772153,-1.336957216,-10.7497506,-1.281480496,-10.61706974,-1.230649129,-10.49769005,-1.183804802,-10.38992269,-1.140429536,-10.29232933,-1.100106838
-10.12658873,-3.853493636,-9.80580166,-3.474270121,-9.541681852,-3.174333849,-9.316864313,-2.931509232,-9.122364552,-2.730018612,-8.952550343,-2.559127964,-8.803361042,-2.411519496,-8.671627726,-2.282108716,-8.554780575,-2.167272556,-8.450698421,-2.064359519,-8.357614902,-1.971378607,-8.274050905,-1.88679908,-8.198762121,-1.809418983,-8.130697044,-1.738276861
-7.965828473,-6.038866317,-7.748090563,-5.372323102,-7.569117191,-4.854913693,-7.4168174,-4.441846127,-7.285025536,-4.103266908,-7.169913324,-3.819390772,-7.06873461,-3.576869592,-6.979351065,-3.366462698,-6.900030105,-3.181592802,-6.829341971,-3.017450194,-6.766096002,-2.870428776,-6.709294956,-2.737763449,-6.658099627,-2.617291382,-6.611800552,-2.507290975
-6.446420424,-8.638841339,-6.303797786,-7.617298586,-6.185809116,-6.83343149,-6.084760979,-6.213076057,-5.99682656,-5.708459795,-5.91965356,-5.288387096,-5.85154752,-4.931949033,-5.791174601,-4.624712981,-5.737441072,-4.356422377,-5.689434565,-4.119587385,-5.646388264,-3.908602111,-5.607654921,-3.719177685,-5.572686257,-3.547968723,-5.541016117,-3.39232097
-5.375537976,-11.59189338,-5.28302223,-10.16214291,-5.205519343,-9.072599435,-5.138381459,-8.214848516,-5.079394893,-7.52036453,-5.027219489,-6.944771794,-4.980876783,-6.458436409,-4.939576683,-6.040936715,-4.902654503,-5.677773239,-4.869543522,-5.358366596,-4.839758877,-5.074806797,-4.812885359,-4.821050467,-4.788567048,-4.59239164,-4.76649832,-4.385103893
-4.601434349,-14.86099146,-4.541564137,-12.97924412,-4.490483864,-11.55101044,-4.445516792,-10.43007545,-4.405489681,-9.525022871,-4.369713948,-8.776926412,-4.337671851,-8.146507066,-4.308923364,-7.606713635,-4.283080322,-7.138344488,-4.259799068,-6.72739304,-4.238776963,-6.363391539,-4.219748983,-6.038347921,-4.2024839,-5.746044488,-4.186780301,-5.481563255
-4.022410065,-18.42448007,-3.983994236,-16.05260627,-3.95037372,-14.25637681,-3.920125868,-12.84903551,-3.892737203,-11.71456256,-3.867932474,-10.77835364,-3.845487264,-9.990712597,-3.825185594,-9.317412822,-3.806817244,-8.734154054,-3.790182855,-8.223207832,-3.775098226,-7.771325171,-3.761396364,-7.368392824,-3.748927748,-7.006546114,-3.737559493,-6.679567968
-3.573966781,-22.26785307,-3.550009235,-19.37141427,-3.528244947,-17.18033122,-3.50805557,-15.46506964,-3.489349238,-14.0835638,-3.472115359,-12.94456069,-3.456318594,-11.98727132,-3.441888619,-11.16980974,-3.428731893,-10.46242187,-3.416744404,-9.843391031,-3.405820746,-9.296483522,-3.395859535,-8.809306832,-3.386766222,-8.372224664,-3.37845424,-7.977621259
-3.215610523,-26.3790568,-3.201718337,-22.92648933,-3.188280051,-20.31564421,-3.17520399,-18.27233252,-3.162673254,-16.62720001,-3.150850431,-15.27149301,-3.139825036,-14.13272806,-3.129624001,-13.16092409,-3.120232523,-12.32055043,-3.111611541,-11.58565837,-3.103709755,-10.936842,-3.096471145,-10.35928308,-3.089839394,-9.841457697,-3.083760325,-9.374258303
-2.921585527,-30.74638698,-2.91494362,-26.70874673,-2.907556868,-23.65504333,-2.899687789,-21.26485894,-2.891703566,-19.34048126,-2.883883243,-17.75490862,-2.876401238,-16.42342775,-2.869351479,-15.28757041,-2.862774064,-14.3057363,-2.856675686,-13.44752164,-2.851043488,-12.69017576,-2.845853915,-12.01631922,-2.841078183,-11.41243259,-2.836685556,-10.8678297
-2.675084244,-35.35776585,-2.673834931,-30.70869034,-2.670988624,-27.19084249,-2.667052827,-24.43628281,-2.662521413,-22.21803539,-2.657754015,-20.39020378,-2.652984561,-18.85537405,-2.648354618,-17.54624152,-2.643943822,-16.4148726,-2.639792172,-15.42620611,-2.635915037,-14.55398901,-2.632312871,-13.77815615,-2.628977368,-13.08309307,-2.625895323,-12.45645438
-2.464778144,-40.20061607,-2.467652739,-34.91634216,-2.468306939,-30.91490233,-2.46742229,-27.77981544,-2.465582169,-25.25409713,-2.463203514,-23.17240886,-2.460563169,-21.42422935,-2.457837588,-19.93311105,-2.455135744,-18.64455303,-2.452522607,-17.51865535,-2.450034891,-16.52552016,-2.447691325,-15.64228337,-2.445499282,-14.85114439,-2.443459033,-14.13802455
-2.282758475,-45.26192284,-2.28885746,-39.32129769,-2.292268546,-34.818677,-2.293799853,-31.28828417,-2.294099468,-28.44253943,-2.29362606,-26.09621326,-2.29268822,-24.12533407,-2.291488614,-22.444048,-2.290158552,-20.99108235,-2.288782214,-19.72153814,-2.28741286,-18.6017457,-2.286083476,-17.60594015,-2.284813725,-16.71405228,-2.28361449,-15.91020271
,,,,,,,,,,,,,,,,,,,,,,,,,,,
350nm,,400nm,,450nm,,500nm,,550nm,,600nm,,650nm,,700nm,,750nm,,800nm,,850nm,,900nm,,950nm,,1000nm,
